Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201519,Joe Dombrowski,UAE-Team Emirates,Climber,46,8,0,0,0,0,0,4,20,22,46
riderprofile.php?rider=20202618,Giovanni Visconti,Vini Zabù - KTM,Unclassed,426,8,200,0,2,99,20,25,80,0,426
riderprofile.php?rider=20201002,François Bidard,AG2R La Mondiale,Unclassed,90,6,50,0,0,0,0,0,40,0,90
riderprofile.php?rider=20201003,Geoffrey Bouchard,AG2R La Mondiale,Unclassed,184,6,95,0,0,0,5,4,80,0,184
riderprofile.php?rider=20201012,Tony Gallopin,AG2R La Mondiale,Unclassed,2,6,0,2,0,0,0,0,0,0,2
riderprofile.php?rider=20201022,Aurélien Paret-Peintre,AG2R La Mondiale,Unclassed,136,6,12,124,0,0,0,0,0,0,136
riderprofile.php?rider=20201029,Larry Warbasse,AG2R La Mondiale,Unclassed,326,6,171,101,0,0,10,4,40,0,326
riderprofile.php?rider=20202039,Mattia Bais,Androni Giocattoli - Sidermec,Unclassed,117,6,0,0,0,2,55,0,60,0,117
riderprofile.php?rider=20202042,Jefferson Alexander Cepeda,Androni Giocattoli - Sidermec,Climber,32,6,12,0,0,0,0,0,20,0,32
riderprofile.php?rider=20202054,Jhonatan Restrepo,Androni Giocattoli - Sidermec,Unclassed,125,6,50,0,0,0,35,0,40,0,125
riderprofile.php?rider=20201032,Manuele Boaro,Astana Pro Team,Unclassed,170,6,78,0,0,0,30,0,60,2,170
riderprofile.php?rider=20201034,Rodrigo Contreras,Astana Pro Team,Unclassed,22,6,0,0,0,0,0,0,20,2,22
riderprofile.php?rider=20201036,Fabio Felline,Astana Pro Team,Unclassed,266,6,191,30,0,0,5,0,40,0,266
riderprofile.php?rider=20201041,Jonas Gregaard,Astana Pro Team,Unclassed,2,6,0,0,0,0,0,0,0,2,2
riderprofile.php?rider=20201059,Enrico Battaglin,Bahrain - McLaren,Unclassed,479,6,385,0,0,0,0,0,20,74,479
riderprofile.php?rider=20201077,Mark Padun,Bahrain - McLaren,Unclassed,322,6,200,0,0,0,10,0,40,72,322
riderprofile.php?rider=20201078,Hermann Pernsteiner,Bahrain - McLaren,Climber,818,6,404,310,0,0,0,12,20,72,818
riderprofile.php?rider=20201083,Jan Tratnik,Bahrain - McLaren,Unclassed,590,6,428,24,0,0,10,0,60,68,590
riderprofile.php?rider=20202106,Giovanni Carboni,Bardiani-CSF-Faizanè,Unclassed,90,6,70,0,0,0,0,0,20,0,90
riderprofile.php?rider=20202111,Giovanni Lonardi,Bardiani-CSF-Faizanè,Unclassed,105,6,105,0,0,0,0,0,0,0,105
riderprofile.php?rider=20201090,Maciej Bodnar,BORA - hansgrohe,Unclassed,69,6,25,0,0,0,0,0,0,44,69
riderprofile.php?rider=20201094,Matteo Fabbro,BORA - hansgrohe,Unclassed,198,6,84,50,0,0,0,0,20,44,198
riderprofile.php?rider=20201116,Josef Černý,CCC Team,Unclassed,762,6,655,31,46,0,10,0,20,0,762
riderprofile.php?rider=20201117,Víctor De La Parte,CCC Team,Unclassed,42,6,12,0,0,0,0,2,20,8,42
riderprofile.php?rider=20201124,Kamil Małecki,CCC Team,Unclassed,198,6,150,0,0,0,0,0,40,8,198
riderprofile.php?rider=20201129,Joey Rosskopf,CCC Team,Unclassed,414,6,336,0,0,0,10,0,60,8,414
riderprofile.php?rider=20201133,Attila Valter,CCC Team,Unclassed,110,6,82,20,0,0,0,0,0,8,110
riderprofile.php?rider=20201146,Simone Consonni,Cofidis Solutions Crédits,Sprinter,154,6,154,0,0,0,0,0,0,0,154
riderprofile.php?rider=20201147,Nicolas Edet,Cofidis Solutions Crédits,Unclassed,60,6,40,0,0,0,0,0,20,0,60
riderprofile.php?rider=20201149,Nathan Haas,Cofidis Solutions Crédits,Unclassed,70,6,50,0,0,0,0,0,20,0,70
riderprofile.php?rider=20201150,Jesper Hansen,Cofidis Solutions Crédits,Unclassed,100,6,60,0,0,0,0,0,40,0,100
riderprofile.php?rider=20201183,Álvaro José Hodeg,Deceuninck - Quick Step,Sprinter,558,6,300,0,2,0,0,0,0,256,558
riderprofile.php?rider=20201184,Mikkel Frølich Honoré,Deceuninck - Quick Step,Unclassed,722,6,431,13,1,1,0,0,20,256,722
riderprofile.php?rider=20201187,Iljo Keisse,Deceuninck - Quick Step,Unclassed,403,6,125,0,0,0,0,0,20,258,403
riderprofile.php?rider=20201192,Pieter Serry,Deceuninck - Quick Step,Unclassed,338,6,34,16,0,0,0,10,20,258,338
riderprofile.php?rider=20201201,Jonathan Klever Caicedo,EF Pro Cycling,Unclassed,437,6,250,52,10,70,10,15,20,10,437
riderprofile.php?rider=20201212,Tanel Kangert,EF Pro Cycling,Unclassed,209,6,148,15,0,0,0,0,20,26,209
