Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210099,Gorka Izagirre,Astana - Premier Tech,All Rounder,8,4.8%,241,80,68,0,0,15,0,40,38,241
riderprofile.php?rider=20210145,Damiano Caruso,Bahrain - Victorious,Climber,8,1.6%,2060,991,860,0,96,15,50,0,48,2060
riderprofile.php?rider=20210232,Felix Großschartner,BORA - hansgrohe,All Rounder,8,8.0%,86,28,0,0,0,0,6,40,12,86
riderprofile.php?rider=20210330,Rémi Cavagna,Deceuninck - Quick Step,Unclassed,8,34.7%,470,370,31,0,0,15,0,20,34,470
riderprofile.php?rider=20210341,James Knox,Deceuninck - Quick Step,Climber,8,2.5%,54,0,0,0,0,0,0,20,34,54
riderprofile.php?rider=20210389,Ruben Guerreiro,EF Education - Nippo,Climber,8,5.0%,48,16,10,0,0,0,0,20,2,48
riderprofile.php?rider=20210525,Filippo Ganna,INEOS Grenadiers,Unclassed,8,45.0%,832,460,60,1,0,15,0,0,296,832
riderprofile.php?rider=20210563,Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,Sprinter,8,0.4%,443,345,0,20,0,30,0,40,8,443
riderprofile.php?rider=20210583,Davide Cimolai,Israel Start-Up Nation,Sprinter,8,0.8%,1017,790,0,197,0,0,0,0,30,1017
riderprofile.php?rider=20210630,Harm Vanhoucke,Lotto Soudal,Climber,8,1.8%,256,185,0,0,0,15,0,40,16,256
riderprofile.php?rider=20210822,David Dekker,Team Jumbo-Visma,Sprinter,8,3.1%,44,12,0,0,0,0,0,0,32,44
riderprofile.php?rider=20210825,Tobias Foss,Team Jumbo-Visma,All Rounder,8,4.8%,925,477,372,0,0,0,0,0,76,925
riderprofile.php?rider=20210882,Domenico Pozzovivo,Team Qhubeka ASSOS,Climber,8,2.1%,19,0,11,0,0,0,0,0,8,19
riderprofile.php?rider=20210920,Giulio Ciccone,Trek - Segafredo,Climber,8,8.7%,786,538,178,0,11,0,25,0,34,786
riderprofile.php?rider=20210956,Davide Formolo,UAE-Team Emirates,Climber,8,7.3%,417,140,231,0,0,0,0,20,26,417
riderprofile.php?rider=20210976,Diego Ulissi,UAE-Team Emirates,Unclassed,8,14.0%,540,341,109,0,0,0,4,60,26,540
riderprofile.php?rider=20210002,Geoffrey Bouchard,AG2R Citroën Team ,Unclassed,6,1.1%,578,145,0,0,300,15,30,80,8,578
riderprofile.php?rider=20210004,Clément Champoussin,AG2R Citroën Team ,Unclassed,6,8.2%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20210010,Tony Gallopin,AG2R Citroën Team ,Unclassed,6,2.1%,43,0,0,0,0,15,0,20,8,43
riderprofile.php?rider=20210030,Larry Warbasse,AG2R Citroën Team ,Unclassed,6,0.4%,33,0,0,0,0,5,0,20,8,33
riderprofile.php?rider=20210033,Dries De Bondt,Alpecin-Fenix,Unclassed,6,0.5%,630,350,0,40,15,105,0,100,20,630
riderprofile.php?rider=20210039,Alexander Krieger,Alpecin-Fenix,Sprinter,6,0.4%,70,50,0,0,0,0,0,0,20,70
riderprofile.php?rider=20210060,Gianni Vermeersch,Alpecin-Fenix,Unclassed,6,0.6%,293,238,0,0,0,15,0,20,20,293
riderprofile.php?rider=20210061,Louis Vervaeke,Alpecin-Fenix,Unclassed,6,0.2%,364,140,168,0,0,0,2,60,14,364
riderprofile.php?rider=20210066,Jefferson Alexander Cepeda,Androni Giocattoli - Sidermec,Climber,6,10.3%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20210073,Simon Pellaud,Androni Giocattoli - Sidermec,Unclassed,6,1.1%,256,35,0,0,10,85,6,120,0,256
riderprofile.php?rider=20210080,Natnael Tesfatsion,Androni Giocattoli - Sidermec,Unclassed,6,0.5%,183,143,0,0,0,0,0,40,0,183
riderprofile.php?rider=20210092,Fabio Felline,Astana - Premier Tech,Unclassed,6,0.5%,97,70,9,0,0,0,0,0,18,97
riderprofile.php?rider=20210110,Luis Leon Sánchez,Astana - Premier Tech,Unclassed,6,4.9%,98,20,0,0,0,0,0,40,38,98
riderprofile.php?rider=20210111,Matteo Sobrero,Astana - Premier Tech,Unclassed,6,0.2%,179,140,1,0,0,0,0,0,38,179
riderprofile.php?rider=20210113,Harold Tejada,Astana - Premier Tech,Unclassed,6,0.5%,46,8,0,0,0,0,0,0,38,46
riderprofile.php?rider=20210155,Gino Mäder,Bahrain - Victorious,Climber,6,1.8%,344,220,0,0,54,10,0,20,40,344
riderprofile.php?rider=20210157,Matej Mohorič,Bahrain - Victorious,Unclassed,6,5.2%,108,20,0,0,4,20,0,20,44,108
riderprofile.php?rider=20210164,Jan Tratnik,Bahrain - Victorious,Unclassed,6,2.0%,537,380,0,0,3,20,10,40,84,537
riderprofile.php?rider=20210165,Rafael Valls,Bahrain - Victorious,Unclassed,6,0.1%,88,0,0,0,0,0,0,0,88,88
riderprofile.php?rider=20210168,Enrico Battaglin,Bardiani-CSF-Faizanè,Unclassed,6,2.5%,152,130,0,0,0,0,0,20,2,152
riderprofile.php?rider=20210173,Filippo Fiorelli,Bardiani-CSF-Faizanè,Sprinter,6,0.4%,381,350,0,1,0,10,0,20,0,381
riderprofile.php?rider=20210185,Giovanni Visconti,Bardiani-CSF-Faizanè,Unclassed,6,1.8%,192,120,0,0,0,0,10,60,2,192
riderprofile.php?rider=20210227,Maciej Bodnar,BORA - hansgrohe,Unclassed,6,1.9%,93,75,6,0,0,0,0,0,12,93
