Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20221035,Alexis Vuillermoz,TotalEnergies,Unclassed,6,0.9%,12,0,0,0,8,0,0,0,4,12
riderprofile.php?rider=20221042,Giulio Ciccone,Trek - Segafredo,Climber,6,8.2%,389,90,0,0,122,8,89,60,20,389
riderprofile.php?rider=20221054,Bauke Mollema,Trek - Segafredo,Climber,6,8.7%,302,188,54,0,0,0,0,40,20,302
riderprofile.php?rider=20221059,Quinn Simmons,Trek - Segafredo,Climber,6,3.9%,222,54,0,0,4,42,2,100,20,222
riderprofile.php?rider=20221061,Toms Skujiņš,Trek - Segafredo,Unclassed,6,0.6%,34,0,14,0,0,0,0,0,20,34
riderprofile.php?rider=20221062,Jasper Stuyven,Trek - Segafredo,Unclassed,6,2.4%,370,322,8,0,0,0,0,20,20,370
riderprofile.php?rider=20221071,George Bennett,UAE Team Emirates,Climber,6,4.5%,56,0,0,0,0,0,0,0,56,56
riderprofile.php?rider=20221072,Mikkel Bjerg,UAE Team Emirates,Unclassed,6,1.4%,154,35,0,0,0,1,0,0,118,154
riderprofile.php?rider=20221084,Rafał Majka,UAE Team Emirates,Climber,6,7.1%,153,55,10,0,0,0,0,0,88,153
riderprofile.php?rider=20221093,Marc Soler,UAE Team Emirates,All Rounder,6,1.4%,250,140,0,0,0,2,0,20,88,250
riderprofile.php?rider=20220033,Mikaël Cherel,AG2R Citroën Team,Unclassed,4,0.6%,32,0,0,0,0,0,4,20,8,32
riderprofile.php?rider=20220043,Oliver Naesen,AG2R Citroën Team,Unclassed,4,5.5%,28,20,0,0,0,0,0,0,8,28
riderprofile.php?rider=20220064,Silvan Dillier,Alpecin-Fenix,Unclassed,4,2.6%,26,0,0,0,0,0,0,0,26,26
riderprofile.php?rider=20220066,Michael Gogl,Alpecin-Fenix,Unclassed,4,1.8%,6,0,0,0,0,0,0,0,6,6
riderprofile.php?rider=20220068,Alexander Krieger,Alpecin-Fenix,Unclassed,4,0.6%,69,37,0,0,0,6,0,0,26,69
