Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201030,Alex Aranburu,Astana Pro Team,Unclassed,473,8,355,0,0,0,10,0,40,68,473
riderprofile.php?rider=20201044,Gorka Izagirre,Astana Pro Team,All Rounder,348,8,113,132,0,0,15,0,20,68,348
riderprofile.php?rider=20201053,Luis León Sánchez,Astana Pro Team,Unclassed,76,8,0,0,0,0,0,6,40,30,76
riderprofile.php?rider=20201121,Jan Hirt,CCC Team,Climber,2,8,0,0,0,0,0,0,0,2,2
riderprofile.php?rider=20201174,Andrea Bagioli,Deceuninck - Quick Step,Climber,355,8,285,38,0,0,0,0,20,12,355
riderprofile.php?rider=20201202,Hugh Carthy,EF Pro Cycling,Climber,1910,8,980,755,93,26,0,32,0,24,1910
riderprofile.php?rider=20201270,Dan Martin,Israel Start-Up Nation,Climber,2211,8,1199,734,196,53,0,29,0,0,2211
riderprofile.php?rider=20201313,Tim Wellens,Lotto Soudal,Unclassed,838,8,500,0,0,194,20,0,120,4,838
riderprofile.php?rider=20201333,Mikel Nieve,Mitchelton-Scott,Climber,489,8,194,283,0,0,0,0,0,12,489
riderprofile.php?rider=20201516,Rui Costa,UAE-Team Emirates,Unclassed,467,8,320,2,0,10,5,20,60,50,467
riderprofile.php?rider=20201520,Davide Formolo,UAE-Team Emirates,Climber,156,8,76,24,0,0,0,4,20,32,156
riderprofile.php?rider=20201532,Jasper Philipsen,UAE-Team Emirates,Sprinter,880,8,820,0,20,0,0,0,0,40,880
riderprofile.php?rider=20201004,Clément Champoussin,AG2R La Mondiale,Unclassed,144,6,144,0,0,0,0,0,0,0,144
riderprofile.php?rider=20201011,Mathias Frank,AG2R La Mondiale,Climber,0,6,0,0,0,0,0,0,0,0,0
